texto,etiqueta
"Hoy terminé el informe del proyecto a tiempo, organicé mi escritorio y avancé tres tareas pendientes de la lista. Me siento satisfecho con lo logrado.","Productivo"
"Pasé toda la mañana revisando redes sociales y viendo videos. No logré avanzar ni una sola tarea importante.","Procrastinación"
"Completé el módulo de autenticación, escribí tests unitarios y documenté la API. Buen ritmo de trabajo.","Productivo"
"Quería estudiar pero terminé jugando videojuegos hasta tarde. Mañana lo dejo para otro día otra vez.","Procrastinación"
"Hice ejercicio por la mañana, estudié dos horas de machine learning y preparé la presentación del viernes.","Productivo"
"Aplacé el estudio para ver series. Abrí el material pero no leí ni una página completa.","Procrastinación"
"Respondí todos los correos pendientes, cerré tres tickets y planifiqué la semana siguiente con claridad.","Productivo"
"Estuve distraído todo el día con el celular. Empecé varias cosas y no terminé ninguna.","Procrastinación"
"Avancé el capítulo del libro técnico, practiqué código en Python y resolví dos ejercicios difíciles.","Productivo"
"Dije que iba a programar pero me quedé navegando foros sin propósito. Perdí toda la tarde.","Procrastinación"
"Terminé el dashboard de métricas, revisé el código con el equipo y desplegué a staging sin errores.","Productivo"
"Prometí empezar el informe pero preferí ordenar carpetas innecesarias y tomar café sin avanzar.","Procrastinación"
"Estudié NLP durante tres horas, tomé apuntes claros y preparé ejemplos para el laboratorio.","Productivo"
"Retrasé la entrega otra vez. Me distraje con WhatsApp y no abrí el documento del trabajo.","Procrastinación"
"Organicé mis prioridades, completé la reunión de sprint y dejé listo el backlog para mañana.","Productivo"
"Pasé horas pensando en empezar y nunca lo hice. El día se fue sin resultados concretos.","Procrastinación"
"Escribí la mitad del ensayo, corregí la ortografía y envié el borrador al profesor a tiempo.","Productivo"
"Salté entre pestañas del navegador sin foco. Quería trabajar pero elegí distraerme constantemente.","Procrastinación"
"Logré concentrarme con técnica pomodoro: cuatro bloques productivos y un resumen del aprendizaje.","Productivo"
"Aplacé estudiar para el examen. Vi memes y videos cortos hasta que se hizo de noche.","Procrastinación"
"Implementé el pipeline de datos, limpié el dataset y validé las métricas del modelo base.","Productivo"
"Tenía pendiente la tarea de la universidad pero preferí dormir la siesta y no retomé.","Procrastinación"
"Revisé pull requests, corregí bugs críticos y documenté el proceso de despliegue.","Productivo"
"Abrí el IDE pero no escribí código. Me quedé leyendo noticias irrelevantes todo el rato.","Procrastinación"
"Preparé la demo del producto, ensayé la presentación y recibí buen feedback del mentor.","Productivo"
"Dejé para último momento el laboratorio. Empecé tarde y no alcancé a terminar.","Procrastinación"
"Completé el curso de Docker, practiqué contenedores y armé un compose funcional.","Productivo"
"Quería leer el paper pero abrí YouTube. Terminó siendo un día vacío de aprendizaje.","Procrastinación"
"Hice el plan de estudio semanal, cumplí las horas planeadas y anoté dudas para la clase.","Productivo"
"Me levanté con intención de trabajar pero me quedé en la cama revisando el teléfono.","Procrastinación"
"Entregué el entregable de NLP limpio, vectorizado y listo para el entrenamiento del modelo.","Productivo"
"Pospuse la reunión de avance y no preparé nada. Siento que el día fue improductivo.","Procrastinación"
"Optimicé consultas SQL, reduje el tiempo de respuesta y actualicé la documentación técnica.","Productivo"
"Empecé cinco tareas distintas y no cerré ninguna. Cambié de contexto sin disciplina.","Procrastinación"
"Entrené el modelo baseline, comparé métricas y registré el experimento en MLflow.","Productivo"
"Dije mañana lo hago otra vez. Hoy solo procrastiné y evité lo importante.","Procrastinación"
"Organicé el repositorio Git, unifiqué ramas y dejé el README claro para el equipo.","Productivo"
"Perdí tiempo en discusiones inútiles en redes. No avancé en el proyecto del curso.","Procrastinación"
"Terminé la integración FastAPI-Streamlit, probé endpoints y documenté el flujo de login.","Productivo"
"Intenté estudiar estadística pero me distraí con el celular cada cinco minutos.","Procrastinación"
"Cerré el sprint con todas las historias completadas y una retrospectiva útil.","Productivo"
"Evité abrir el documento del informe. Busqué excusas todo el día para no trabajar.","Procrastinación"
"Practiqué lematización y TF-IDF, validé el pipeline NLP y generé el dataset limpio.","Productivo"
"Tenía energía por la mañana pero la gasté en entretenimiento. La noche llegó sin avances.","Procrastinación"
"Escribí tests de integración, corregí fallos y mejoré la cobertura del módulo de auth.","Productivo"
"Retrasé el estudio de Airflow. Preferí ver tutoriales sin aplicar nada práctico.","Procrastinación"
"Configuré el DAG, conecté las tareas y verifiqué que el pipeline corre de punta a punta.","Productivo"
"Abrí el material de PyCaret y lo cerré a los dos minutos. Hoy no hubo disciplina.","Procrastinación"
"Completé la configuración de MLflow, registré métricas Accuracy y F1 y versioné el modelo.","Productivo"
"Prometí avanzar el frontend pero terminé scrolleando sin propósito durante horas.","Procrastinación"
"Hoy resolví tres tickets de alta prioridad y dejé el entorno de staging estable.","Productivo"
"Quería practicar código pero me quedé chateando. Cero líneas útiles al final del día.","Procrastinación"
"Documenté la arquitectura del sistema, dibujé el flujo MLOps y alineé al equipo.","Productivo"
"Aplacé la limpieza del dataset. Inventé tareas menores para evitar lo importante.","Procrastinación"
"Logré foco profundo dos horas seguidas y avancé el módulo de vectorización TF-IDF.","Productivo"
"Día de procrastinación total: redes, series y cero progreso en el clasificador.","Procrastinación"
"Entrené XGBoost y LightGBM, comparé resultados con validación cruzada y elegí el mejor.","Productivo"
"Empecé tarde, me distraje rápido y abandoné el estudio antes de la primera hora.","Procrastinación"
"Dejé listo el Dockerfile de la API, probé el contenedor y verifiqué el healthcheck.","Productivo"
"Sabía qué tenía que hacer pero elegí posponerlo. Otra jornada de baja productividad.","Procrastinación"
